GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Baches-1.0-SNAPSHOT,com.mycompany.baches.entity.resources,TipoObjeto_,3,0,0,0,1,0,1,0,1,0
Baches-1.0-SNAPSHOT,com.mycompany.baches.entity.resources,Objeto_,3,0,0,0,1,0,1,0,1,0
Baches-1.0-SNAPSHOT,com.mycompany.baches.entity.resources,ObjetoEstado,97,0,12,0,33,0,23,0,17,0
Baches-1.0-SNAPSHOT,com.mycompany.baches.entity.resources,Ruta_,3,0,0,0,1,0,1,0,1,0
Baches-1.0-SNAPSHOT,com.mycompany.baches.entity.resources,Estado,90,0,12,0,30,0,21,0,15,0
Baches-1.0-SNAPSHOT,com.mycompany.baches.entity.resources,Objeto,104,0,12,0,36,0,25,0,19,0
Baches-1.0-SNAPSHOT,com.mycompany.baches.entity.resources,Estado_,3,0,0,0,1,0,1,0,1,0
Baches-1.0-SNAPSHOT,com.mycompany.baches.entity.resources,Ruta,83,0,12,0,27,0,19,0,13,0
Baches-1.0-SNAPSHOT,com.mycompany.baches.entity.resources,TipoObjeto,63,20,8,4,21,6,17,2,11,2
Baches-1.0-SNAPSHOT,com.mycompany.baches.entity.resources,ObjetoEstado_,3,0,0,0,1,0,1,0,1,0
Baches-1.0-SNAPSHOT,com.mycompany.baches.boundary,JavaEE8Resource,7,0,0,0,4,0,2,0,2,0
Baches-1.0-SNAPSHOT,com.mycompany.baches.boundary,JAXRSConfiguration,3,0,0,0,1,0,1,0,1,0
Baches-1.0-SNAPSHOT,com.mycompany.baches.control,BeanDePrueba,5,0,0,0,2,0,2,0,2,0
Baches-1.0-SNAPSHOT,com.mycompany.baches.control,AbstractDataAccess,10,254,3,31,3,88,3,23,0,9
Baches-1.0-SNAPSHOT,com.mycompany.baches.control,TipoObjetoBean,0,11,0,0,0,5,0,3,0,3
